symbol,shares,avg_price,last_price,market_value,unrealized_pnl,weight
600309,400,89.58477,89.54,35816.0,-17.908000000003085,0.17917592010112232
601088,700,48.024,48.0,33600.0,-16.80000000000291,0.16808998535285097
002594,300,103.03149,102.98,30894.0,-15.447000000000116,0.15455273831818386
002475,500,67.03349999999999,67.0,33500.0,-16.749999999992724,0.1675897175393008
