date,cash,market_value,equity,positions
2018-10-09,199588.09511085006,0.0,199588.09511085006,0
2018-10-10,68414.22025050005,131134.5345,199548.75475050005,3
2018-10-11,68414.22025050005,122626.0,191040.22025050005,3
2018-10-12,68414.22025050005,128001.0,196415.22025050005,3
2018-10-15,68414.22025050005,126552.0,194966.22025050005,3
2018-10-16,105005.60420610005,83475.0,188480.60420610005,2
2018-10-17,148710.93118610006,41780.88,190491.81118610007,1
2018-10-18,148710.93118610006,39904.0,188614.93118610006,1
2018-10-19,148710.93118610006,42456.0,191166.93118610006,1
2018-10-22,148710.93118610006,44776.0,193486.93118610006,1
2018-10-23,148710.93118610006,44312.0,193022.93118610006,1
2018-10-24,48542.19539055007,145112.6785,193654.87389055008,4
2018-10-25,48542.19539055007,144992.0,193534.19539055007,4
2018-10-26,48542.19539055007,146762.0,195304.19539055007,4
2018-10-29,48542.19539055007,135434.0,183976.19539055007,4
2018-10-30,80117.10723695008,102400.0,182517.10723695008,3
2018-10-31,10809.695249150078,173239.626,184049.32124915006,5
2018-11-01,10809.695249150078,175931.0,186740.69524915007,5
2018-11-02,10809.695249150078,187282.0,198091.69524915007,5
2018-11-05,10809.695249150078,190834.0,201643.69524915007,5
2018-11-06,10809.695249150078,190192.0,201001.69524915007,5
2018-11-07,112270.0940515501,86513.23499999999,198783.32905155007,2
2018-11-08,112270.0940515501,90264.0,202534.09405155008,2
2018-11-09,112270.0940515501,84660.0,196930.09405155008,2
2018-11-12,112270.0940515501,81012.0,193282.09405155008,2
2018-11-13,112270.0940515501,79728.0,191998.09405155008,2
2018-11-14,64771.963752500094,123939.93900000001,188711.90275250011,3
2018-11-15,64771.963752500094,127553.0,192324.9637525001,3
2018-11-16,64771.963752500094,126780.0,191551.9637525001,3
2018-11-19,64771.963752500094,130749.0,195520.9637525001,3
2018-11-20,64771.963752500094,127236.0,192007.9637525001,3
2018-11-21,149374.9685389001,41768.873999999996,191143.8425389001,1
2018-11-22,188887.55116450012,0.0,188887.55116450012,0
2018-11-23,188887.55116450012,0.0,188887.55116450012,0
2018-11-26,188887.55116450012,0.0,188887.55116450012,0
2018-11-27,188887.55116450012,0.0,188887.55116450012,0
2018-11-28,26585.789238700134,162253.08599999998,188838.87523870013,4
2018-11-29,26585.789238700134,158679.0,185264.78923870012,4
2018-11-30,26585.789238700134,163075.0,189660.78923870012,4
2018-12-03,26585.789238700134,171000.0,197585.78923870012,4
2018-12-04,26585.789238700134,172843.0,199428.78923870012,4
2018-12-05,72304.47006585014,125926.2895,198230.75956585014,3
2018-12-06,72304.47006585014,118860.0,191164.47006585012,3
2018-12-07,72304.47006585014,116841.0,189145.47006585012,3
2018-12-10,72304.47006585014,114767.0,187071.47006585012,3
2018-12-11,72304.47006585014,116439.0,188743.47006585012,3
2018-12-12,151520.45571305015,39475.727999999996,190996.18371305015,1
2018-12-13,151520.45571305015,40200.0,191720.45571305015,1
2018-12-14,151520.45571305015,39491.99999999999,191012.45571305015,1
2018-12-17,151520.45571305015,38304.0,189824.45571305015,1
2018-12-18,151520.45571305015,38052.0,189572.45571305015,1
2018-12-19,148368.59246825016,39955.96799999999,188324.56046825016,1
2018-12-20,148368.59246825016,38311.0,186679.59246825016,1
2018-12-21,148368.59246825016,36153.0,184521.59246825016,1
2018-12-24,148368.59246825016,38467.0,186835.59246825016,1
2018-12-25,148368.59246825016,38662.0,187030.59246825016,1
2018-12-26,105568.49426420016,80323.1415,185891.63576420015,2
2018-12-27,105568.49426420016,80150.0,185718.49426420016,2
2018-12-28,105568.49426420016,78060.0,183628.49426420016,2
2019-01-02,105568.49426420016,77927.0,183495.49426420016,2
2019-01-03,105568.49426420016,78098.0,183666.49426420016,2
2019-01-04,186866.70162580014,0.0,186866.70162580014,0
