time,symbol,side,price,shares,amount,fee,tax,note
2026-05-02 01:54:29,600887,SELL,15.762115,2600,40981.498999999996,12.294449699999998,20.4907495,ml_rebalance
2026-05-02 01:54:29,600276,BUY,32.89644,100,3289.644,5.0,0.0,ml_rebalance
2026-05-02 01:54:29,600276,SELL,30.70464,1200,36845.568,11.0536704,18.422784,stop_loss -14.37%
2026-05-02 01:54:29,600276,BUY,30.735359999999996,1300,39955.96799999999,11.986790399999997,0.0,ml_rebalance
2026-05-02 01:54:29,600276,SELL,28.905540000000002,1300,37577.202000000005,11.2731606,18.788601000000003,ml_rebalance
2026-05-02 01:54:29,600030,BUY,12.4062,3200,39699.840000000004,11.909952,0.0,ml_rebalance
2026-05-02 01:54:29,300750,BUY,21.380685,1900,40623.3015,12.18699045,0.0,ml_rebalance
2026-05-02 01:54:29,600030,SELL,12.3938,3200,39660.16,11.898048,19.830080000000002,ml_rebalance
2026-05-02 01:54:29,300750,SELL,21.94902,1900,41703.138,12.510941399999998,20.851569,ml_rebalance
2026-05-02 01:54:29,600309,BUY,19.34967,2100,40634.307,12.190292099999999,0.0,ml_rebalance
2026-05-02 01:54:29,000858,BUY,27.6138,1500,41420.700000000004,12.426210000000001,0.0,ml_rebalance
2026-05-02 01:54:29,600309,SELL,20.749620000000004,2100,43574.202000000005,13.0722606,21.787101000000003,ml_rebalance
2026-05-02 01:54:29,000858,SELL,28.955515000000002,1500,43433.27250000001,13.029981750000001,21.716636250000004,ml_rebalance
2026-05-02 01:54:29,600309,BUY,22.881435,1800,41186.583,12.355974899999998,0.0,ml_rebalance
2026-05-02 01:54:29,600309,SELL,24.88755,300,7466.265,5.0,3.7331325000000004,ml_rebalance
2026-05-02 01:54:29,000858,BUY,40.14006,900,36126.054,10.837816199999997,0.0,ml_rebalance
2026-05-02 01:54:29,002475,BUY,8.994495,4100,36877.429500000006,11.063228850000002,0.0,ml_rebalance
2026-05-02 01:54:29,601088,BUY,5.112555,7200,36810.396,11.043118799999998,0.0,ml_rebalance
2026-05-02 01:54:29,601318,BUY,47.233605,700,33063.523499999996,9.919057049999997,0.0,ml_rebalance
2026-05-02 01:54:29,002475,SELL,10.97451,4100,44995.491,13.4986473,22.4977455,ml_rebalance
2026-05-02 01:54:29,601088,SELL,5.067465,7200,36485.748,10.9457244,18.242874,ml_rebalance
2026-05-02 01:54:29,601318,SELL,50.95451,700,35668.157,10.700447099999998,17.8340785,ml_rebalance
2026-05-02 01:54:29,000333,BUY,29.97498,1300,38967.473999999995,11.690242199999997,0.0,ml_rebalance
2026-05-02 01:54:29,601899,BUY,1.9109549999999997,20700,39556.76849999999,11.867030549999996,0.0,ml_rebalance
